Postleitzahl;urbrur
1010;0
1020;0
1030;0
1040;0
1050;0
1060;0
1070;0
1080;0
1090;0
1100;0
1110;0
1120;0
1130;0
1140;0
1150;0
1160;0
1170;0
1180;0
1190;0
1200;0
1210;0
1220;0
1230;0
1300;0
2000;1
2002;3
2003;1
2004;3
2011;3
2013;3
2014;2
2020;2
2022;4
2023;4
2024;4
2031;2
2032;2
2033;4
2034;4
2041;4
2042;3
2051;4
2052;4
2053;4
2054;4
2061;4
2062;4
2063;4
2064;2
2070;4
2073;4
2074;4
2081;4
2082;4
2083;4
2084;4
2091;4
2092;4
2093;4
2094;4
2095;4
2100;0
2102;0
2103;0
2104;1
2105;0
2111;0
2112;3
2113;3
2114;3
2115;3
2116;3
2120;2
2122;2
2123;3
2124;3
2125;3
2126;3
2130;2
2132;2
2133;2
2134;4
2135;2
2136;2
2141;4
2143;4
2144;4
2145;3
2151;4
2152;3
2153;4
2154;4
2161;4
2162;4
2163;4
2164;4
2165;4
2170;4
2171;4
2172;4
2181;3
2182;3
2183;3
2184;3
2185;3
2191;3
2192;2
2193;3
2201;3
2202;3
2203;3
2211;2
2212;3
2213;3
2214;3
2215;3
2221;3
2222;3
2223;3
2224;3
2225;4
2230;2
2231;3
2232;3
2241;3
2242;3
2243;3
2244;3
2245;3
2251;3
2252;3
2253;3
2261;3
2262;3
2263;3
2264;3
2265;3
2272;3
2273;3
2274;3
2275;3
2276;3
2280;3
2281;3
2282;3
2283;3
2284;3
2285;3
2286;3
2291;3
2292;3
2293;3
2294;3
2295;3
2301;0
2304;3
2305;3
2320;0
2322;0
2325;3
2326;0
2331;0
2332;0
2333;0
2334;0
2340;0
2344;0
2345;0
2351;0
2352;0
2353;0
2361;0
2362;0
2371;0
2372;0
2380;0
2381;3
2384;3
2391;3
2392;3
2393;0
2401;3
2402;3
2403;3
2404;3
2405;3
2410;3
2412;3
2413;3
2421;3
2422;3
2423;3
2424;3
2425;3
2431;3
2432;3
2433;3
2434;3
2435;3
2440;3
2441;3
2442;3
2443;3
2444;3
2451;3
2452;3
2453;3
2454;3
2460;2
2462;2
2463;3
2464;3
2465;3
2471;3
2472;3
2473;3
2474;3
2475;3
2481;3
2482;3
2483;3
2485;3
2486;3
2490;3
2491;3
2492;1
2493;1
2500;0
2504;0
2511;0
2512;0
2514;0
